year,competition,name,noc,rank_AA,apparatus,rotation,D_score,E_score,final_score,,,,
2024,olympic,NEMOUR Kaylia,ALG,5,FX,4,5.5 ,7.600 ,13.100 ,,,,
2024,olympic,BLACK Elsabeth,CAN,6,VT,4,5.0 ,9.100 ,14.100 ,,,,
2024,olympic,BLACK Elsabeth,CAN,6,UB,1,6.0 ,8.066 ,14.066 ,,,,
2024,olympic,BLACK Elsabeth,CAN,6,BB,2,6.0 ,6.933 ,12.933 ,,,,
2024,olympic,BLACK Elsabeth,CAN,6,FX,3,5.6 ,8.100 ,13.700 ,,,,
2024,olympic,QIU Qiyuan,CHN,7,VT,4,4.4 ,8.733 ,13.133 ,,,,
2024,olympic,QIU Qiyuan,CHN,7,UB,1,6.6 ,7.300 ,13.900 ,,,,
2024,olympic,QIU Qiyuan,CHN,7,BB,2,6.4 ,8.100 ,14.500 ,,,,
2024,olympic,QIU Qiyuan,CHN,7,FX,3,5.1 ,8.133 ,13.233 ,,,,
2024,olympic,KEVRIC Helen,GER,8,VT,3,5.0 ,8.866 ,13.866 ,,,,
2024,olympic,KEVRIC Helen,GER,8,UB,4,6.2 ,8.266 ,14.466 ,,,,
2024,olympic,KEVRIC Helen,GER,8,BB,1,5.4 ,8.000 ,13.400 ,,,,
2024,olympic,KEVRIC Helen,GER,8,FX,2,5.5 ,7.366 ,12.866 ,,,,
2024,olympic,SARAIVA Flavia,BRA,9,VT,4,5.0 ,8.633 ,13.633 ,,,,
2024,olympic,SARAIVA Flavia,BRA,9,UB,1,5.6 ,8.300 ,13.900 ,,,,
2024,olympic,SARAIVA Flavia,BRA,9,BB,2,5.9 ,8.366 ,14.266 ,,,,
2024,olympic,SARAIVA Flavia,BRA,9,FX,3,5.4 ,6.833 ,12.233 ,,,,
2024,olympic,VISSER Naomi,NED,10,VT,3,4.2 ,8.766 ,12.966 ,,,,
2024,olympic,VISSER Naomi,NED,10,UB,4,6.1 ,8.166 ,14.266 ,,,,
2024,olympic,VISSER Naomi,NED,10,BB,1,5.2 ,8.133 ,13.333 ,,,,
2024,olympic,VISSER Naomi,NED,10,FX,2,5.4 ,8.000 ,13.400 ,,,,
2024,olympic,KISHI Rina,JPN,11,VT,4,5.0 ,8.766 ,13.766 ,,,,
2024,olympic,KISHI Rina,JPN,11,UB,1,5.6 ,8.233 ,13.833 ,,,,
2024,olympic,KISHI Rina,JPN,11,BB,2,5.6 ,7.533 ,13.133 ,,,,
2024,olympic,KISHI Rina,JPN,11,FX,3,5.7 ,7.533 ,13.233 ,,,,
2024,olympic,KINSELLA Alice,GBR,12,VT,2,5.0 ,8.800 ,13.800 ,,,,
2024,olympic,KINSELLA Alice,GBR,12,UB,3,6.0 ,8.133 ,14.133 ,,,,
2024,olympic,KINSELLA Alice,GBR,12,BB,4,5.5 ,7.533 ,13.033 ,,,,
2024,olympic,KINSELLA Alice,GBR,12,FX,1,4.9 ,7.933 ,12.833 ,,,,
2024,olympic,PASS Ruby,AUS,13,VT,4,5.0 ,8.633 ,13.633 ,,,,
2024,olympic,PASS Ruby,AUS,13,UB,1,6.1 ,7.633 ,13.733 ,,,,
2024,olympic,PASS Ruby,AUS,13,BB,2,5.6 ,7.866 ,13.466 ,,,,
2024,olympic,PASS Ruby,AUS,13,FX,3,5.2 ,7.766 ,12.966 ,,,,
2024,olympic,ESPOSITO Manila ,ITA,14,VT,1,5.0 ,8.866 ,13.866 ,,,,
2024,olympic,ESPOSITO Manila ,ITA,14,UB,2,5.5 ,7.300 ,12.800 ,,,,
2024,olympic,ESPOSITO Manila ,ITA,14,BB,3,6.0 ,8.200 ,14.200 ,,,,
2024,olympic,ESPOSITO Manila ,ITA,14,FX,4,5.7 ,7.033 ,12.733 ,,,,
2024,olympic,NAKAMURA Haruka,JPN,15,VT,3,4.2 ,8.633 ,12.833 ,,,,
2024,olympic,NAKAMURA Haruka,JPN,15,UB,4,6.1 ,7.833 ,13.933 ,,,,
2024,olympic,NAKAMURA Haruka,JPN,15,BB,1,5.8 ,7.900 ,13.700 ,,,,
2024,olympic,NAKAMURA Haruka,JPN,15,FX,2,5.3 ,7.333 ,12.633 ,,,,
2024,olympic,OU Yushan,CHN,16,VT,4,4.2 ,8.766 ,12.966 ,,,,
2024,olympic,OU Yushan,CHN,16,UB,1,5.8 ,8.166 ,13.966 ,,,,
2024,olympic,OU Yushan,CHN,16,BB,2,6.0 ,8.033 ,14.033 ,,,,
2024,olympic,OU Yushan,CHN,16,FX,3,5.1 ,6.833 ,11.933 ,,,,
2024,olympic,BARBOSU Ana ,ROU,17,VT,3,5.2 ,8.800 ,14.000 ,,,,
2024,olympic,BARBOSU Ana ,ROU,17,UB,4,6.0 ,6.433 ,12.433 ,,,,
2024,olympic,BARBOSU Ana ,ROU,17,BB,1,5.6 ,6.866 ,12.466 ,,,,
2024,olympic,BARBOSU Ana ,ROU,17,FX,2,5.7 ,7.866 ,13.566 ,,,,
2024,olympic,FENTON Georgia-Mae,GBR,18,VT,2,4.6 ,9.033 ,13.633 ,,,,
2024,olympic,FENTON Georgia-Mae,GBR,18,UB,3,5.7 ,8.100 ,13.800 ,,,,
2024,olympic,FENTON Georgia-Mae,GBR,18,BB,4,4.4 ,6.900 ,11.300 ,,,,
2024,olympic,FENTON Georgia-Mae,GBR,18,FX,1,5.2 ,7.833 ,13.033 ,,,,
2024,olympic,STEWART Ava,CAN,19,VT,2,4.6 ,8.733 ,13.333 ,,,,
2024,olympic,STEWART Ava,CAN,19,UB,3,5.8 ,6.833 ,12.633 ,,,,
2024,olympic,STEWART Ava,CAN,19,BB,4,6.0 ,7.166 ,13.166 ,,,,
2024,olympic,STEWART Ava,CAN,19,FX,1,4.9 ,7.600 ,12.500 ,,,,
2024,olympic,MARTINS Filipa,POR,20,VT,3,5.0 ,7.500 ,12.500 ,,,,
2024,olympic,MARTINS Filipa,POR,20,UB,4,5.3 ,8.266 ,13.566 ,,,,
2024,olympic,MARTINS Filipa,POR,20,BB,1,4.9 ,7.800 ,12.700 ,,,,
2024,olympic,MARTINS Filipa,POR,20,FX,2,4.8 ,7.666 ,12.466 ,,,,
2024,olympic,CZIFRA Bettina Lili,HUN,21,VT,3,4.2 ,8.766 ,12.966 ,,,,
2024,olympic,CZIFRA Bettina Lili,HUN,21,UB,4,5.9 ,8.000 ,13.900 ,,,,
2024,olympic,CZIFRA Bettina Lili,HUN,21,BB,1,4.8 ,6.600 ,11.400 ,,,,
2024,olympic,CZIFRA Bettina Lili,HUN,21,FX,2,5.8 ,7.033 ,12.833 ,,,,
2024,olympic,GHIGOARTA Amalia ,ROU,22,VT,2,4.2 ,8.900 ,13.100 ,,,,
2024,olympic,GHIGOARTA Amalia ,ROU,22,UB,3,5.3 ,7.266 ,12.566 ,,,,
2024,olympic,GHIGOARTA Amalia ,ROU,22,BB,4,5.1 ,6.800 ,11.900 ,,,,
2024,olympic,GHIGOARTA Amalia ,ROU,22,FX,1,5.2 ,7.966 ,13.166 ,,,,
2024,olympic,BLANCO Luisa,COL,23,VT,2,4.6 ,8.900 ,13.500 ,,,,
2024,olympic,BLANCO Luisa,COL,23,UB,3,4.5 ,6.633 ,11.133 ,,,,
2024,olympic,BLANCO Luisa,COL,23,BB,4,5.3 ,7.566 ,12.866 ,,,,
2024,olympic,BLANCO Luisa,COL,23,FX,1,4.7 ,8.000 ,12.700 ,,,,
2024,olympic,VOSS Sarah,GER,24,VT,2,5.0 ,7.500 ,12.500 ,,,,
2024,olympic,VOSS Sarah,GER,24,UB,3,5.2 ,7.133 ,12.333 ,,,,
2024,olympic,VOSS Sarah,GER,24,BB,4,5.6 ,6.700 ,12.300 ,,,,
2024,olympic,VOSS Sarah,GER,24,FX,1,5.0 ,7.866 ,12.866 ,,,,
2022,asia games,ZOU Tong,CHN ,1,VT,1,4.2 ,8.633 ,12.833 ,,,,
2022,asia games,ZOU Tong,CHN ,1,UB,2,6.0 ,7.733 ,13.733 ,,,,
2022,asia games,ZOU Tong,CHN ,1,BB,3,5.8 ,8.033 ,13.833 ,,,,
2022,asia games,ZOU Tong,CHN ,1,FX,4,5.1 ,8.066 ,13.166 ,,,,
2022,asia games,OKAMURA Mana ,JPN ,2,VT,1,4.4 ,8.466 ,12.866 ,,,,
2022,asia games,OKAMURA Mana ,JPN ,2,UB,2,5.3 ,7.733 ,13.033 ,,,,
2022,asia games,OKAMURA Mana ,JPN ,2,BB,3,5.8 ,8.133 ,13.933 ,,,,
2022,asia games,OKAMURA Mana ,JPN ,2,FX,4,5.0 ,8.066 ,13.066 ,,,,
2022,asia games,KIM Sujong,PRK ,3,VT,1,4.0 ,8.300 ,12.300 ,,,,
2022,asia games,KIM Sujong,PRK ,3,UB,2,5.6 ,7.400 ,13.000 ,,,,
2022,asia games,KIM Sujong,PRK ,3,BB,3,5.3 ,7.900 ,13.200 ,,,,
2022,asia games,KIM Sujong,PRK ,3,FX,4,5.5 ,7.466 ,12.966 ,,,,
2022,asia games,ZHANG Jin ,CHN,4,VT,1,5.2 ,7.833 ,13.033 ,,,,
2022,asia games,ZHANG Jin ,CHN,4,UB,2,4.8 ,5.300 ,10.100 ,,,,
2022,asia games,ZHANG Jin ,CHN,4,BB,3,5.5 ,8.400 ,13.900 ,,,,
2022,asia games,ZHANG Jin ,CHN,4,FX,4,5.6 ,8.266 ,13.866 ,,,,
2022,asia games,TING Hua-Tien ,TPE,5,VT,4,4.2 ,8.166 ,12.366 ,,,,
2022,asia games,TING Hua-Tien ,TPE,5,UB,1,4.6 ,7.700 ,12.300 ,,,,
2022,asia games,TING Hua-Tien ,TPE,5,BB,2,5.5 ,8.033 ,13.533 ,,,,
2022,asia games,TING Hua-Tien ,TPE,5,FX,3,4.7 ,7.400 ,12.100 ,,,,
2022,asia games,AN Changok ,PRK ,6,VT,1,5.6 ,7.900 ,13.500 ,,,,
2022,asia games,AN Changok ,PRK ,6,UB,2,6.1 ,7.533 ,13.633 ,,,,
2022,asia games,AN Changok ,PRK ,6,BB,3,5.1 ,6.933 ,12.033 ,,,,
2022,asia games,AN Changok ,PRK ,6,FX,4,5.0 ,6.100 ,11.100 ,,,,
2022,asia games,LIM Sumin ,KOR ,7,VT,4,4.2 ,8.500 ,12.700 ,,,,
2022,asia games,LIM Sumin ,KOR ,7,UB,1,4.8 ,6.300 ,11.100 ,,,,
2022,asia games,LIM Sumin ,KOR ,7,BB,2,5.6 ,6.833 ,12.433 ,,,,
2022,asia games,LIM Sumin ,KOR ,7,FX,3,5.0 ,7.933 ,12.933 ,,,,
2022,asia games,AN Yeonjeong ,KOR ,8,VT,4,4.2 ,8.533 ,12.733 ,,,,
2022,asia games,AN Yeonjeong ,KOR ,8,UB,1,4.2 ,7.366 ,11.566 ,,,,
2022,asia games,AN Yeonjeong ,KOR ,8,BB,2,4.9 ,7.633 ,12.533 ,,,,
2022,asia games,AN Yeonjeong ,KOR ,8,FX,3,5.2 ,6.933 ,12.133 ,,,,
2022,asia games,LAI Pin-Ju,TPE,9,VT,4,4.2 ,8.666 ,12.866 ,,,,
2022,asia games,LAI Pin-Ju,TPE,9,UB,1,4.1 ,7.133 ,11.233 ,,,,
